ID_Planta,Tipo_Agua,Dia,Altura_cm,Num_Folhas,Germinada,Observacoes
B7,Mineral,4,1.5,0,Sim,"Início de germinação"
B8,Mineral,4,0,0,Não,"Semente ainda não germinada"
B9,Mineral,4,1.8,0,Sim,"Início de germinação"
B10,Mineral,4,1.7,0,Sim,"Início de germinação"
C1,Açucarada,4,0.5,0,Sim,"Germinação lenta"
C2,Açucarada,4,0.6,0,Sim,"Germinação lenta"
C3,Açucarada,4,0,0,Não,"Semente ainda não germinada"
C4,Açucarada,4,0.4,0,Sim,"Germinação lenta"
C5,Açucarada,4,0,0,Não,"Semente ainda não germinada"
C6,Açucarada,4,0.7,0,Sim,"Germinação lenta"
C7,Açucarada,4,0.5,0,Sim,"Germinação lenta"
C8,Açucarada,4,0.3,0,Sim,"Germinação lenta"
C9,Açucarada,4,0,0,Não,"Semente ainda não germinada"
C10,Açucarada,4,0.4,0,Sim,"Germinação lenta"
A1,Torneira,7,3.5,1,Sim,"Crescimento normal"
A2,Torneira,7,3.7,1,Sim,"Crescimento normal"
A3,Torneira,7,3.2,1,Sim,"Crescimento normal"
A4,Torneira,7,3.6,1,Sim,"Crescimento normal"
A5,Torneira,7,2.0,0,Sim,"Germinação tardia"
A6,Torneira,7,3.4,1,Sim,"Crescimento normal"
A7,Torneira,7,3.8,1,Sim,"Crescimento normal"
A8,Torneira,7,3.5,1,Sim,"Crescimento normal"
A9,Torneira,7,2.1,0,Sim,"Germinação tardia"
A10,Torneira,7,3.6,1,Sim,"Crescimento normal"
B1,Mineral,7,4.2,1,Sim,"Crescimento acelerado"
B2,Mineral,7,4.5,2,Sim,"Crescimento acelerado"
B3,Mineral,7,4.0,1,Sim,"Crescimento acelerado"
B4,Mineral,7,4.6,2,Sim,"Crescimento acelerado"
B5,Mineral,7,4.1,1,Sim,"Crescimento acelerado"
B6,Mineral,7,4.3,1,Sim,"Crescimento acelerado"
B7,Mineral,7,4.0,1,Sim,"Crescimento acelerado"
B8,Mineral,7,2.5,0,Sim,"Germinação tardia"
B9,Mineral,7,4.4,1,Sim,"Crescimento acelerado"
B10,Mineral,7,4.2,1,Sim,"Crescimento acelerado"
C1,Açucarada,7,1.5,0,Sim,"Crescimento lento"
C2,Açucarada,7,1.7,0,Sim,"Crescimento lento"
C3,Açucarada,7,0.8,0,Sim,"Germinação tardia"
C4,Açucarada,7,1.4,0,Sim,"Crescimento lento"
C5,Açucarada,7,0.7,0,Sim,"Germinação tardia"
C6,Açucarada,7,1.8,0,Sim,"Crescimento lento"
C7,Açucarada,7,1.6,0,Sim,"Crescimento lento"
C8,Açucarada,7,1.2,0,Sim,"Crescimento lento"
C9,Açucarada,7,0,0,Não,"Semente não germinada"
C10,Açucarada,7,1.3,0,Sim,"Crescimento lento"
A1,Torneira,10,5.8,2,Sim,"Crescimento normal"
A2,Torneira,10,6.1,2,Sim,"Crescimento normal"
A3,Torneira,10,5.5,2,Sim,"Crescimento normal"
A4,Torneira,10,6.0,2,Sim,"Crescimento normal"
A5,Torneira,10,4.2,1,Sim,"Crescimento atrasado"
A6,Torneira,10,5.7,2,Sim,"Crescimento normal"
A7,Torneira,10,6.2,2,Sim,"Crescimento normal"
A8,Torneira,10,5.9,2,Sim,"Crescimento normal"
A9,Torneira,10,4.5,1,Sim,"Crescimento atrasado"
A10,Torneira,10,6.0,2,Sim,"Crescimento normal"
B1,Mineral,10,7.5,3,Sim,"Crescimento acelerado"
B2,Mineral,10,7.8,3,Sim,"Crescimento acelerado"
B3,Mineral,10,7.3,2,Sim,"Crescimento acelerado"
B4,Mineral,10,7.9,3,Sim,"Crescimento acelerado"
B5,Mineral,10,7.4,2,Sim,"Crescimento acelerado"
B6,Mineral,10,7.6,3,Sim,"Crescimento acelerado"
B7,Mineral,10,7.2,2,Sim,"Crescimento acelerado"
B8,Mineral,10,5.0,1,Sim,"Crescimento atrasado"
B9,Mineral,10,7.7,3,Sim,"Crescimento acelerado"
B10,Mineral,10,7.5,2,Sim,"Crescimento acelerado"
C1,Açucarada,10,2.5,1,Sim,"Crescimento lento, folhas amareladas"
C2,Açucarada,10,2.8,1,Sim,"Crescimento lento, folhas amareladas"
C3,Açucarada,10,1.5,0,Sim,"Crescimento muito lento"
C4,Açucarada,10,2.4,1,Sim,"Crescimento lento, folhas amareladas"
C5,Açucarada,10,1.4,0,Sim,"Crescimento muito lento"
C6,Açucarada,10,2.9,1,Sim,"Crescimento lento, folhas amareladas"
C7,Açucarada,10,2.6,1,Sim,"Crescimento lento, folhas amareladas"
C8,Açucarada,10,2.0,0,Sim,"Crescimento muito lento"
C9,Açucarada,10,0.5,0,Sim,"Germinação tardia"
C10,Açucarada,10,2.2,1,Sim,"Crescimento lento, folhas amareladas"
A1,Torneira,14,8.5,3,Sim,"Crescimento saudável"
A2,Torneira,14,8.9,3,Sim,"Crescimento saudável"
A3,Torneira,14,8.2,3,Sim,"Crescimento saudável"
A4,Torneira,14,8.7,3,Sim,"Crescimento saudável"
A5,Torneira,14,6.5,2,Sim,"Crescimento atrasado"
A6,Torneira,14,8.4,3,Sim,"Crescimento saudável"
A7,Torneira,14,9.0,3,Sim,"Crescimento saudável"
A8,Torneira,14,8.6,3,Sim,"Crescimento saudável"
A9,Torneira,14,6.8,2,Sim,"Crescimento atrasado"
A10,Torneira,14,8.8,3,Sim,"Crescimento saudável"
B1,Mineral,14,11.2,4,Sim,"Crescimento vigoroso"
B2,Mineral,14,11.5,4,Sim,"Crescimento vigoroso"
B3,Mineral,14,10.8,3,Sim,"Crescimento vigoroso"
B4,Mineral,14,11.6,4,Sim,"Crescimento vigoroso"
B5,Mineral,14,11.0,3,Sim,"Crescimento vigoroso"
B6,Mineral,14,11.3,4,Sim,"Crescimento vigoroso"
B7,Mineral,14,10.9,3,Sim,"Crescimento vigoroso"
B8,Mineral,14,7.8,2,Sim,"Crescimento atrasado"
B9,Mineral,14,11.4,4,Sim,"Crescimento vigoroso"
B10,Mineral,14,11.1,3,Sim,"Crescimento vigoroso"
C1,Açucarada,14,3.2,1,Sim,"Crescimento prejudicado, folhas murchas"
C2,Açucarada,14,3.5,1,Sim,"Crescimento prejudicado, folhas murchas"
C3,Açucarada,14,2.0,0,Sim,"Crescimento muito lento"
C4,Açucarada,14,3.0,1,Sim,"Crescimento prejudicado, folhas murchas"
C5,Açucarada,14,1.8,0,Sim,"Crescimento muito lento"
C6,Açucarada,14,3.6,1,Sim,"Crescimento prejudicado, folhas murchas"
C7,Açucarada,14,3.3,1,Sim,"Crescimento prejudicado, folhas murchas"
C8,Açucarada,14,2.5,0,Sim,"Crescimento muito lento"
C9,Açucarada,14,1.0,0,Sim,"Germinação prejudicada"
C10,Açucarada,14,2.8,1,Sim,"Crescimento prejudicado, folhas murchas" 
